,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-24 03:33:00,32.3182,-86.9023,5832,202,,5630.0,1.0,124.37893176156355,52641.0,768.0,3.4636488340192044,84000001,USA,1122.6734133848536,13.168724279835393
1,Alaska,US,2020-04-24 03:33:00,61.3707,-152.4044,337,9,209.0,328.0,2.0,56.378178800801,12161.0,42.0,2.6706231454005933,84000002,USA,2034.4659715030887,12.462908011869436
2,American Samoa,US,2020-04-24 03:33:00,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-24 03:33:00,33.7298,-111.4312,5772,249,1282.0,5523.0,4.0,79.29968976675424,58697.0,699.0,4.3139293139293144,84000004,USA,806.4195929035295,12.110187110187109
4,Arkansas,US,2020-04-24 03:33:00,34.9697,-92.3731,2599,45,902.0,2554.0,5.0,100.38520262631481,31590.0,291.0,1.7314351673720665,84000005,USA,1220.1495001790247,11.196614082339359
5,California,US,2020-04-24 03:33:00,36.1162,-119.6816,39561,1533,,38028.0,6.0,100.89873094232848,482097.0,4929.0,3.875028437097141,84000006,USA,1229.568906021176,12.459240160764391
6,Colorado,US,2020-04-24 03:33:00,39.0598,-105.3111,11278,552,,10726.0,8.0,199.0183900545157,50645.0,2123.0,4.894484837737188,84000008,USA,893.7122153139693,18.82425962050009
7,Connecticut,US,2020-04-24 03:33:00,41.5978,-72.7554,23100,1639,,21461.0,9.0,647.9141791390148,71497.0,1947.0,7.095238095238094,84000009,USA,2005.3645050174082,8.428571428571429
8,Delaware,US,2020-04-24 03:33:00,39.3185,-75.5071,3308,92,643.0,3216.0,10.0,339.71270246178744,16912.0,290.0,2.7811366384522365,84000010,USA,1736.76578719279,8.766626360338575
9,Diamond Princess,US,2020-04-24 03:33:00,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-24 03:33:00,38.8974,-77.0268,3361,139,648.0,3222.0,11.0,476.2316347596667,15930.0,402.0,4.135673906575424,84000011,USA,2257.1764182450133,11.960725974412375
11,Florida,US,2020-04-24 03:33:00,27.7663,-81.6868,29648,987,,28661.0,12.0,139.63429642126832,296708.0,4693.0,3.329060982191041,84000012,USA,1397.4167843551566,15.829060982191043
12,Georgia,US,2020-04-24 03:33:00,33.0406,-83.6431,21883,881,,21002.0,13.0,215.82159799901243,101062.0,4069.0,4.025956221724626,84000013,USA,996.7263326315492,18.5943426404058
13,Grand Princess,US,2020-04-24 03:33:00,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
14,Guam,US,2020-04-24 03:33:00,13.4443,144.7937,139,5,126.0,134.0,66.0,84.63791413209604,1315.0,2.0,3.5971223021582728,316,GUM,800.7112020410524,1.4388489208633093
15,Hawaii,US,2020-04-24 03:33:00,21.0943,-157.4983,596,12,444.0,584.0,15.0,42.096757560817814,26128.0,63.0,2.0134228187919465,84000015,USA,1845.4766468943756,10.57046979865772
16,Idaho,US,2020-04-24 03:33:00,44.2405,-114.4788,1836,54,767.0,1782.0,16.0,114.00207513581209,18092.0,162.0,2.9411764705882355,84000016,USA,1123.3799255757694,8.823529411764708
17,Illinois,US,2020-04-24 03:33:00,40.3495,-88.9861,36937,1688,,35249.0,17.0,314.7417531857835,173316.0,4877.0,4.569943417169776,84000017,USA,1476.8330317878351,13.203562823185425
18,Indiana,US,2020-04-24 03:33:00,39.8494,-86.2583,13039,706,,12333.0,18.0,199.25140518160626,72040.0,,5.414525653807807,84000018,USA,1100.856755064262,
19,Iowa,US,2020-04-24 03:33:00,42.0115,-93.2105,3924,96,1492.0,3828.0,19.0,149.73024516610556,29262.0,282.0,2.4464831804281344,84000019,USA,1116.5663695337869,7.186544342507645
20,Kansas,US,2020-04-24 03:33:00,38.5266,-96.7265,2721,113,,2608.0,20.0,111.58553989193304,21318.0,442.0,4.152884968761485,84000020,USA,874.2302607189372,16.244027930907755
21,Kentucky,US,2020-04-24 03:33:00,37.6681,-84.6701,3479,191,1311.0,3288.0,21.0,101.62699591593264,36075.0,1105.0,5.4900833572865775,84000021,USA,1053.8068058830902,31.76200057487784
22,Louisiana,US,2020-04-24 03:33:00,31.1695,-91.8678,25739,1599,,24140.0,22.0,559.8762394866861,143315.0,1727.0,6.2123625626481225,84000022,USA,3117.396295972432,6.709662380045844
23,Maine,US,2020-04-24 03:33:00,44.6939,-69.3819,937,44,485.0,893.0,23.0,79.81219857479434,17721.0,150.0,4.6958377801494136,84000023,USA,1509.4471408152938,16.008537886873
24,Maryland,US,2020-04-24 03:33:00,39.0639,-76.8021,15737,748,1040.0,14989.0,24.0,264.78399753673654,80100.0,3477.0,4.753129567261867,84000024,USA,1347.7281694536819,22.094427146215924
25,Massachusetts,US,2020-04-24 03:33:00,42.2302,-71.5301,46023,2360,,43663.0,25.0,670.5205242831493,195076.0,4493.0,5.127870847185103,84000025,USA,2842.1107227920747,9.762510049323165
26,Michigan,US,2020-04-24 03:33:00,43.3266,-84.5361,35296,2977,3237.0,32319.0,26.0,443.01308643286234,128321.0,3611.0,8.43438349954669,84000026,USA,1610.604098599029,10.230621033544876
27,Minnesota,US,2020-04-24 03:33:00,45.6945,-93.9002,2942,200,1536.0,2742.0,27.0,59.477046752355115,51548.0,712.0,6.798096532970767,84000027,USA,1042.1219598879684,24.20122365737593
28,Mississippi,US,2020-04-24 03:33:00,32.7416,-89.6787,5153,201,,4952.0,28.0,177.9838809397328,55389.0,946.0,3.9006404036483597,84000028,USA,1913.1281159268115,18.35823791965845
29,Missouri,US,2020-04-24 03:33:00,38.4561,-92.2884,6506,252,,6254.0,29.0,111.03419839657471,59450.0,884.0,3.873347679065478,84000029,USA,1014.5993075125062,13.58745773132493
30,Montana,US,2020-04-24 03:33:00,46.9219,-110.4544,442,14,306.0,428.0,30.0,51.04002715976107,11875.0,59.0,3.1674208144796383,84000030,USA,1371.2676980139427,13.348416289592759
31,Nebraska,US,2020-04-24 03:33:00,41.1254,-98.2681,2202,47,,2155.0,31.0,144.367693106541,17360.0,,2.1344232515894643,84000031,USA,1138.1576531923486,
32,Nevada,US,2020-04-24 03:33:00,38.3135,-117.0554,4208,195,,4013.0,32.0,139.49031009743442,34749.0,,4.63403041825095,84000032,USA,1151.8889699562135,
33,New Hampshire,US,2020-04-24 03:33:00,43.4525,-71.5639,1670,51,550.0,1619.0,33.0,125.73899896698259,16012.0,213.0,3.053892215568862,84000033,USA,1205.5885338079793,12.754491017964073
34,New Jersey,US,2020-04-24 03:33:00,40.2989,-74.521,100025,5426,,94599.0,34.0,1126.1299296682464,200148.0,7240.0,5.42464383904024,84000034,USA,2253.363190834693,7.2381904523869025
35,New Mexico,US,2020-04-24 03:33:00,34.8405,-106.2485,2379,78,547.0,2301.0,35.0,142.66584229517497,41232.0,331.0,3.278688524590164,84000035,USA,2472.634724470221,13.913408995376209
36,New York,US,2020-04-24 03:33:00,42.1657,-74.9481,263460,20973,23887.0,242487.0,36.0,1562.5384577746606,695920.0,57103.0,7.960601229788202,84000036,USA,4127.388459479776,21.67425795187125
37,North Carolina,US,2020-04-24 03:33:00,35.6301,-79.8064,7820,281,,7539.0,37.0,78.84753538434394,96185.0,486.0,3.5933503836317136,84000037,USA,969.8146024223939,6.2148337595907925
38,North Dakota,US,2020-04-24 03:33:00,47.5289,-99.784,709,15,269.0,694.0,38.0,116.91605460260084,16330.0,65.0,2.1156558533145278,84000038,USA,2692.862019267238,9.167842031029618
39,Northern Mariana Islands,US,2020-04-24 03:33:00,15.0979,145.6739,14,2,11.0,12.0,69.0,25.388074858552155,65.0,,14.285714285714285,580,MNP,117.87320470042073,
40,Ohio,US,2020-04-24 03:33:00,40.3888,-82.7649,14694,656,,14038.0,39.0,131.50334799254688,102325.0,2960.0,4.464407241050768,84000039,USA,915.7533743934504,20.144276575472983
41,Oklahoma,US,2020-04-24 03:33:00,35.5653,-96.9289,3017,179,1884.0,2838.0,40.0,82.48501627008059,46036.0,622.0,5.933046072257209,84000040,USA,1258.6278452135998,20.61650646337421
42,Oregon,US,2020-04-24 03:33:00,44.572,-122.0709,2127,83,,2044.0,41.0,53.08112602861839,43976.0,512.0,3.902209685002351,84000041,USA,1097.4591435047118,24.071462153267518
43,Pennsylvania,US,2020-04-24 03:33:00,40.5908,-77.2098,38379,1724,,36655.0,42.0,304.89778865488506,178708.0,2750.0,4.4920399176633055,84000042,USA,1419.7262569357517,7.165376898824878
44,Puerto Rico,US,2020-04-24 03:33:00,18.2208,-66.5901,1416,69,,1347.0,72.0,48.27149854367343,10228.0,,4.872881355932203,630,PRI,348.6729428705451,
45,Rhode Island,US,2020-04-24 03:33:00,41.6809,-71.5118,6256,189,342.0,6067.0,44.0,590.5446774045863,44419.0,576.0,3.0210997442455243,84000044,USA,4192.999364711369,9.207161125319693
46,South Carolina,US,2020-04-24 03:33:00,33.8569,-80.945,4917,150,3317.0,4767.0,45.0,97.56000773813362,44463.0,837.0,3.050640634533252,84000045,USA,882.2067569779613,17.022574740695546
47,South Dakota,US,2020-04-24 03:33:00,44.2998,-99.4388,1956,9,1064.0,1947.0,46.0,265.79987280742284,14065.0,119.0,0.4601226993865031,84000046,USA,1911.2858952128845,6.083844580777097
48,Tennessee,US,2020-04-24 03:33:00,35.7478,-86.6923,8266,171,4193.0,8095.0,47.0,125.9114911981531,123100.0,793.0,2.068715218969272,84000047,USA,1875.115481066132,9.593515606097268
49,Texas,US,2020-04-24 03:33:00,31.0545,-97.5635,22650,604,8025.0,22046.0,48.0,98.54440987582926,225078.0,1649.0,2.6666666666666665,84000048,USA,979.2573371316513,7.280353200883002
50,Utah,US,2020-04-24 03:33:00,40.15,-111.8624,3612,35,1050.0,3577.0,49.0,126.03449828011064,80627.0,301.0,0.9689922480620154,84000049,USA,2813.339837439224,8.333333333333334
51,Vermont,US,2020-04-24 03:33:00,44.0459,-72.7107,825,43,1710.0,782.0,50.0,135.11499514404898,13852.0,44.0,5.212121212121212,84000050,USA,2268.621712406505,5.333333333333333
52,Virgin Islands,US,2020-04-24 03:33:00,18.3358,-64.8963,54,3,48.0,51.0,78.0,50.34120147667525,637.0,,5.5555555555555545,850,VIR,593.8397285304097,
53,Virginia,US,2020-04-24 03:33:00,37.7693,-78.17,10998,373,1567.0,10625.0,51.0,139.08789803761874,64518.0,1753.0,3.391525731951264,84000051,USA,815.9368072004988,15.939261683942535
54,Washington,US,2020-04-24 03:33:00,47.4009,-121.4905,12753,711,,12042.0,53.0,168.92726484465064,147953.0,544.0,5.57515878616796,84000053,USA,1959.7973508633731,4.265662981259312
55,West Virginia,US,2020-04-24 03:33:00,38.4912,-80.9545,981,31,380.0,950.0,54.0,74.14977195732722,27905.0,108.0,3.1600407747196737,84000054,USA,2109.224654912555,11.009174311926603
56,Wisconsin,US,2020-04-24 03:33:00,44.2685,-89.6165,5052,258,,4794.0,55.0,97.6312818975718,56508.0,1318.0,5.10688836104513,84000055,USA,1092.0325569018185,26.08867775138559
57,Wyoming,US,2020-04-24 03:33:00,42.756,-107.3025,453,7,275.0,446.0,56.0,91.1028879414367,7567.0,52.0,1.5452538631346575,84000056,USA,1521.8003378650146,11.479028697571746
58,Recovered,US,2020-04-24 03:33:00,,,0,0,80203.0,-80203.0,,,,,,84070001,USA,,
